Province,District,Tehsil,Union Council,Village/City
AZAD KASHMIR,BAGH,BAGH,BAGH,BAGH(PARTLY)
AZAD KASHMIR,BAGH,BAGH,BAGH,BAGLOOR(PARTLY)
AZAD KASHMIR,BAGH,BAGH,BAGH,CHAK GAROLA
AZAD KASHMIR,BAGH,BAGH,BAGH,CHOWKI
AZAD KASHMIR,BAGH,BAGH,BAGH,HULLAR
AZAD KASHMIR,BAGH,BAGH,BAGH,KAHNA MOHRI
AZAD KASHMIR,BAGH,BAGH,BAGH,KHAWAJA
AZAD KASHMIR,BAGH,BAGH,BAGH,KOTERI NAJAM KHAN
AZAD KASHMIR,BAGH,BAGH,BAGH,KOTLA
AZAD KASHMIR,BAGH,BAGH,BAGH,NINDRAI
AZAD KASHMIR,BAGH,BAGH,BAGH,NOOR GALA
AZAD KASHMIR,BAGH,BAGH,BAGH,PADAR GULSHER KHAN
AZAD KASHMIR,BAGH,BAGH,BAGH,RATNOI
AZAD KASHMIR,BAGH,BAGH,BAGH,SEWAR KALO
AZAD KASHMIR,BAGH,BAGH,BAGH,SEWAR MATWALI
AZAD KASHMIR,BAGH,BAGH,BAGH M.C,BAGH
AZAD KASHMIR,BAGH,BAGH,BANI PASARI,AWAIRA
AZAD KASHMIR,BAGH,BAGH,BANI PASARI,BANI PASARI
AZAD KASHMIR,BAGH,BAGH,BANI PASARI,CHATTAR NO. 1
AZAD KASHMIR,BAGH,BAGH,BANI PASARI,KOTERI QANDEEL(PARTLY)
AZAD KASHMIR,BAGH,BAGH,BANI PASARI,MUKHDOOM KOT
AZAD KASHMIR,BAGH,BAGH,BANI PASARI,PANYALI
AZAD KASHMIR,BAGH,BAGH,BIR PANI,BANI MAHALDARA
AZAD KASHMIR,BAGH,BAGH,BIR PANI,BANI MANHASAN
AZAD KASHMIR,BAGH,BAGH,BIR PANI,BIR PANI
AZAD KASHMIR,BAGH,BAGH,BIR PANI,CHAK DHAL
AZAD KASHMIR,BAGH,BAGH,BIR PANI,CHERHAN
AZAD KASHMIR,BAGH,BAGH,BIR PANI,DHAL QAZIAN
AZAD KASHMIR,BAGH,BAGH,BIR PANI,LAMBI KASSI
AZAD KASHMIR,BAGH,BAGH,BIR PANI,REIR-BAN
AZAD KASHMIR,BAGH,BAGH,BIR PANI,SUDHAN-GALI
AZAD KASHMIR,BAGH,BAGH,BIR PANI,SURUL
AZAD KASHMIR,BAGH,BAGH,DHARA,CHATTAR NO 2
AZAD KASHMIR,BAGH,BAGH,DHARA,DHARA
AZAD KASHMIR,BAGH,BAGH,DHARA,GAILAN
AZAD KASHMIR,BAGH,BAGH,DHARA,JABRAY NAZRPUR
AZAD KASHMIR,BAGH,BAGH,DHARA,KATHI
AZAD KASHMIR,BAGH,BAGH,DHARA,KHARL MALDIALAN
AZAD KASHMIR,BAGH,BAGH,DHARA,KOT BROLI
AZAD KASHMIR,BAGH,BAGH,DHARA,KOTEHRI TUGHLO
AZAD KASHMIR,BAGH,BAGH,DHARA,QADARABAD
AZAD KASHMIR,BAGH,BAGH,DHARA,SAHLIAN MALDIALAN
AZAD KASHMIR,BAGH,BAGH,DHARA,SAMNI
AZAD KASHMIR,BAGH,BAGH,DHARA,SERI
AZAD KASHMIR,BAGH,BAGH,ISLAM NAGAR,BHONT KANA(PARTLY)
AZAD KASHMIR,BAGH,BAGH,ISLAM NAGAR,CHATRORA
AZAD KASHMIR,BAGH,BAGH,ISLAM NAGAR,ISLAM NAGAR
AZAD KASHMIR,BAGH,BAGH,ISLAM NAGAR,KHARAL ABBASIAN
AZAD KASHMIR,BAGH,BAGH,ISLAM NAGAR,KHARL GIALAN
AZAD KASHMIR,BAGH,BAGH,JAGLARI,BANGRAN
AZAD KASHMIR,BAGH,BAGH,JAGLARI,CHAK SARIAN
AZAD KASHMIR,BAGH,BAGH,JAGLARI,HARI GHEL
AZAD KASHMIR,BAGH,BAGH,JAGLARI,JAGLARI
AZAD KASHMIR,BAGH,BAGH,JAGLARI,KAFAL GARH
AZAD KASHMIR,BAGH,BAGH,JAGLARI,KOTERA MAST KHAN
AZAD KASHMIR,BAGH,BAGH,JAGLARI,LOBER JAGLARI
AZAD KASHMIR,BAGH,BAGH,JAGLARI,LOON HOTTER
AZAD KASHMIR,BAGH,BAGH,JAGLARI,MONG-BAJRI
AZAD KASHMIR,BAGH,BAGH,JAGLARI,PADDAR MOHAMMAD ALI
AZAD KASHMIR,BAGH,BAGH,JAGLARI,PAMNOTI
AZAD KASHMIR,BAGH,BAGH,JAGLARI,PATRATA
AZAD KASHMIR,BAGH,BAGH,NAR SHER ALI KHAN,AZAD BARA
AZAD KASHMIR,BAGH,BAGH,NAR SHER ALI KHAN,NAR SHER ALI JANOOBI
AZAD KASHMIR,BAGH,BAGH,NAR SHER ALI KHAN,NAR SHER ALI SHUMALI
AZAD KASHMIR,BAGH,BAGH,NAR SHER ALI KHAN,SERI MANG
AZAD KASHMIR,BAGH,BAGH,RAWALI,AHMED ABAD
AZAD KASHMIR,BAGH,BAGH,RAWALI,BHORKA
AZAD KASHMIR,BAGH,BAGH,RAWALI,MERA
AZAD KASHMIR,BAGH,BAGH,RAWALI,NARYOLA
AZAD KASHMIR,BAGH,BAGH,RAWALI,RAWALI
AZAD KASHMIR,BAGH,BAGH,RAWALI,SIR-SYIADIAN
AZAD KASHMIR,BAGH,BAGH,SAWANJ,BARI KOT
AZAD KASHMIR,BAGH,BAGH,SAWANJ,DHULLI
AZAD KASHMIR,BAGH,BAGH,SAWANJ,SAWANJ
AZAD KASHMIR,BAGH,BAGH,THUB,BASE BAGLA
AZAD KASHMIR,BAGH,BAGH,THUB,JAHIR
AZAD KASHMIR,BAGH,BAGH,THUB,NAKI KAIR
AZAD KASHMIR,BAGH,BAGH,THUB,THUB
AZAD KASHMIR,BAGH,BAGH,TOPI,DHAKKI PANDI
AZAD KASHMIR,BAGH,BAGH,TOPI,KALRI
AZAD KASHMIR,BAGH,BAGH,TOPI,KOTHIAN
AZAD KASHMIR,BAGH,BAGH,TOPI,TOPI JANUBI
AZAD KASHMIR,BAGH,BAGH,TOPI,TOPI SHUMALI
AZAD KASHMIR,BAGH,DHIR KOT,CHAMYATI,CHAMYATI GHARBI
AZAD KASHMIR,BAGH,DHIR KOT,CHAMYATI,CHAMYATI SHARQI
AZAD KASHMIR,BAGH,DHIR KOT,CHAMYATI,KOTLI JANUBI
AZAD KASHMIR,BAGH,DHIR KOT,CHAMYATI,KOTLI SHUMALI
AZAD KASHMIR,BAGH,DHIR KOT,CHAMYATI,PATHARA
AZAD KASHMIR,BAGH,DHIR KOT,CHAMYATI,SANGAR
AZAD KASHMIR,BAGH,DHIR KOT,CHIRALA,CHIRALA KHAS
AZAD KASHMIR,BAGH,DHIR KOT,CHIRALA,FATEHPUR
AZAD KASHMIR,BAGH,DHIR KOT,CHIRALA,GAHL POONA
AZAD KASHMIR,BAGH,DHIR KOT,CHIRALA,MOHRA KATHWAR
AZAD KASHMIR,BAGH,DHIR KOT,CHIRALA,SOHAWA SHARIF
AZAD KASHMIR,BAGH,DHIR KOT,DHIRKOT,DANAH
AZAD KASHMIR,BAGH,DHIR KOT,DHIRKOT,DHIRKOT
AZAD KASHMIR,BAGH,DHIR KOT,DHIRKOT,HOTHLA
AZAD KASHMIR,BAGH,DHIR KOT,DHIRKOT,KALAS
AZAD KASHMIR,BAGH,DHIR KOT,DHIRKOT,NARWAL
AZAD KASHMIR,BAGH,DHIR KOT,DHIRKOT,NEELA BUT
AZAD KASHMIR,BAGH,DHIR KOT,DHIRKOT,SESSAR
AZAD KASHMIR,BAGH,DHIR KOT,HILL SURANG,CHAMON-KOT
AZAD KASHMIR,BAGH,DHIR KOT,HILL SURANG,HILL
AZAD KASHMIR,BAGH,DHIR KOT,HILL SURANG,KAIRI CHAMAN KOT
AZAD KASHMIR,BAGH,DHIR KOT,HILL SURANG,MALAL BAGLA
AZAD KASHMIR,BAGH,DHIR KOT,HILL SURANG,MINHASA
AZAD KASHMIR,BAGH,DHIR KOT,HILL SURANG,NAMB
AZAD KASHMIR,BAGH,DHIR KOT,HILL SURANG,SURANG
AZAD KASHMIR,BAGH,DHIR KOT,MAKHYALA,GHAZI ABAD
AZAD KASHMIR,BAGH,DHIR KOT,MAKHYALA,KHUNTAL RIALA
AZAD KASHMIR,BAGH,DHIR KOT,MAKHYALA,MAKHYALA
AZAD KASHMIR,BAGH,DHIR KOT,MAKHYALA,NARAKOT
AZAD KASHMIR,BAGH,DHIR KOT,MALLOT,ARJA
AZAD KASHMIR,BAGH,DHIR KOT,MALLOT,CHACHARI
AZAD KASHMIR,BAGH,DHIR KOT,MALLOT,CHALANDROT
AZAD KASHMIR,BAGH,DHIR KOT,MALLOT,CHANAT
AZAD KASHMIR,BAGH,DHIR KOT,MALLOT,CHOOR
AZAD KASHMIR,BAGH,DHIR KOT,MALLOT,DHAK
AZAD KASHMIR,BAGH,DHIR KOT,MALLOT,MALOT
AZAD KASHMIR,BAGH,DHIR KOT,MALLOT,PAIL
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,BARIAN RANGLA
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,BHAGSAR
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,BHOORA RANGLA
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,CHAPRIAN
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,GHORIKAIR BARIAN
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,GHORIKER
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,KAIRI NAROL
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,KAYATI-KHURD
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,NANGAL RANGLA
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,PADDAR MASTO
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,RANGLA
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,RANGLA JANOOBI
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,RANGLA SHUMALI
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,RANGOLI
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,RANGOLI KALAS
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,SABOKOT
AZAD KASHMIR,BAGH,DHIR KOT,RANGLA,TAHL
AZAD KASHMIR,BAGH,DHIR KOT,SAHLIAN DAHAMNOTA,DHEER
AZAD KASHMIR,BAGH,DHIR KOT,SAHLIAN DAHAMNOTA,MANDARI GHARBI
AZAD KASHMIR,BAGH,DHIR KOT,SAHLIAN DAHAMNOTA,MANDARI SHARQI
AZAD KASHMIR,BAGH,DHIR KOT,SAHLIAN DAHAMNOTA,SAHLIAN BAGLA
AZAD KASHMIR,BAGH,DHIR KOT,SAHLIAN DAHAMNOTA,SAHLIAN CHAHJA
AZAD KASHMIR,BAGH,DHIR KOT,SAHLIAN DAHAMNOTA,SAHLIAN DAHAMNOTA
AZAD KASHMIR,BAGH,DHIR KOT,SAHLIAN DAHAMNOTA,SAHLIAN KHAS
AZAD KASHMIR,BAGH,DHIR KOT,SAHLIAN DAHAMNOTA,SAHLIAN MAIRA
AZAD KASHMIR,BHIMBER,BARNALA,AMBERIALA,(blank)
AZAD KASHMIR,BHIMBER,BARNALA,BANIAN,(blank)
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,ABOWALA
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,AHI
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,AMBERIALA
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,BARA
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,BARNALA
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,BRALA CHAPPER
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,CHANEEN
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,DOBEY
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,DOIAN
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,HAZARI
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,HINSU WALA
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,JAKAR MANDI
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,JAND PIR
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,KALIAN
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,KHARBOOZA
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,KULIAN SHUMALI
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,MERI SHUMALI
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,MHKARIALA
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,PADHAN
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,PATIAN
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,SAIRA
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,SALEEM-A-MAT
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,SEHALIANWALA
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,TIBBA
AZAD KASHMIR,BHIMBER,BARNALA,BARNALA,WATANAWALA
AZAD KASHMIR,BHIMBER,BARNALA,CHAK HUKAM CHAND,CHAK HUKAM CHAND
AZAD KASHMIR,BHIMBER,BARNALA,CHAK HUKAM CHAND,PADHAR
AZAD KASHMIR,BHIMBER,BARNALA,CHAK LA,CHAKLA
AZAD KASHMIR,BHIMBER,BARNALA,CHAK LA,DEKAR
AZAD KASHMIR,BHIMBER,BARNALA,CHAK LA,KHADRA
AZAD KASHMIR,BHIMBER,BARNALA,CHAK LA,METERIAL
AZAD KASHMIR,BHIMBER,BARNALA,CHAK LA,SARI PALAI
AZAD KASHMIR,BHIMBER,BARNALA,CHAK PANDETH,BHAMANI
AZAD KASHMIR,BHIMBER,BARNALA,CHAK PANDETH,CHAMRIAL
AZAD KASHMIR,BHIMBER,BARNALA,CHAK PANDETH,RAI PUR
AZAD KASHMIR,BHIMBER,BARNALA,DEWA,(blank)
AZAD KASHMIR,BHIMBER,BARNALA,DHURANWALA,BOKAN
AZAD KASHMIR,BHIMBER,BARNALA,DHURANWALA,KOT YAR
AZAD KASHMIR,BHIMBER,BARNALA,DHURANWALA,TAHU
AZAD KASHMIR,BHIMBER,BARNALA,HAZARI,(blank)
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,BOKAN
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,BORIJALL
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,BOSEY
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,CHAK BIDDU
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,CHAK MEHRI
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,DALLAY
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,DEWARA
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,JANDDA
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,KHIZRA
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,MALQOTIAN
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,MANAWAR
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,PAHOR
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,PANJGRAIN
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,RANA
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD JANUBI,REHANA
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,BARMLA
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,CHAK BELI RAMPUR
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,CHAK PANDETH
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,CHAMB (IFTIKHAR ABAD)
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,DEHGANWALI
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,KHAIROWAL
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,KOIL
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,MALKEY NO.1
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,MALKEY NO.2
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,MOIL
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,NAWANCHAK
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,NAWANCHAK NO.2
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,PHAGLA (1)
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,PHAGLA (2)
